epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,4751.64,1.64745,1.66162,1.69297,0.62008,0.60918,0.60173,0.33038,1.72757,1.5408,1.58942,0.0003796,0.0003796,0.0003796
96,4801.58,1.65034,1.70008,1.69622,0.58931,0.60451,0.60621,0.33624,1.68329,1.53344,1.54611,0.000373,0.000373,0.000373
97,4851.87,1.64888,1.70323,1.69277,0.62125,0.61231,0.60986,0.33861,1.66608,1.52436,1.56281,0.0003664,0.0003664,0.0003664
98,4901.91,1.64879,1.70129,1.6879,0.64871,0.592,0.62369,0.35271,1.6263,1.52002,1.5253,0.0003598,0.0003598,0.0003598
99,4952,1.63053,1.67027,1.6835,0.63502,0.62265,0.62069,0.34612,1.65563,1.51937,1.54989,0.0003532,0.0003532,0.0003532
100,5001.57,1.638,1.66698,1.67728,0.67194,0.61548,0.64293,0.36293,1.67713,1.48809,1.55967,0.0003466,0.0003466,0.0003466
101,5051.73,1.63456,1.6668,1.6794,0.64991,0.62834,0.64584,0.35795,1.65158,1.49418,1.54888,0.00034,0.00034,0.00034
102,5101.43,1.64105,1.67872,1.69235,0.65122,0.59692,0.6435,0.36016,1.6378,1.46458,1.53627,0.0003334,0.0003334,0.0003334
103,5151.34,1.60771,1.64965,1.67015,0.65402,0.66455,0.67497,0.3793,1.61196,1.37953,1.51933,0.0003268,0.0003268,0.0003268
104,5201.43,1.6264,1.6358,1.67105,0.67377,0.62917,0.66866,0.38034,1.62814,1.4129,1.51946,0.0003202,0.0003202,0.0003202
105,5251.54,1.60214,1.65599,1.6647,0.67044,0.61441,0.65768,0.38659,1.59633,1.43611,1.51534,0.0003136,0.0003136,0.0003136
106,5301.75,1.61191,1.65071,1.66641,0.63219,0.65807,0.66236,0.3972,1.5788,1.40071,1.49265,0.000307,0.000307,0.000307
107,5351.75,1.61104,1.65537,1.65647,0.6566,0.61689,0.66438,0.3936,1.5941,1.42778,1.48233,0.0003004,0.0003004,0.0003004
108,5401.67,1.60951,1.61787,1.6667,0.67946,0.64024,0.67967,0.39406,1.6111,1.40235,1.51053,0.0002938,0.0002938,0.0002938
109,5451.75,1.59625,1.58493,1.65891,0.64481,0.67575,0.67644,0.39389,1.58415,1.36927,1.48856,0.0002872,0.0002872,0.0002872
110,5501.8,1.58068,1.6193,1.65377,0.64687,0.68344,0.68259,0.40152,1.58902,1.33354,1.49365,0.0002806,0.0002806,0.0002806
111,5552,1.58861,1.59994,1.66119,0.68485,0.6418,0.68717,0.40854,1.5535,1.34527,1.48409,0.000274,0.000274,0.000274
